dr_id,INCIDENT_NUMBER,LMPD_DIVISION
0,80-16-080765,5TH DIVISION
1,80-16-064276,7TH DIVISION
2,80-16-000805,4TH DIVISION
3,80-16-099509,2ND DIVISION
4,80-16-099506,4TH DIVISION
5,80-16-099523,4TH DIVISION
6,80-16-099530,1ST DIVISION
7,80-16-099535,2ND DIVISION
8,80-16-099536,8TH DIVISION
9,80-16-099537,1ST DIVISION
10,80-16-099538,6TH DIVISION
11,80-16-099545,2ND DIVISION
12,80-16-099531,6TH DIVISION
13,80-16-099533,8TH DIVISION
14,80-16-099534,1ST DIVISION
15,80-16-099539,4TH DIVISION
16,80-16-099540,6TH DIVISION
17,80-16-099541,METRO LOUISVILLE
18,80-16-099543,4TH DIVISION
19,80-16-004308,4TH DIVISION
20,80-16-052915,6TH DIVISION
21,80-16-079007,8TH DIVISION
22,80-16-066218,5TH DIVISION
23,80-16-060292,6TH DIVISION
24,80-16-102843,3RD DIVISION
25,80-16-104624,3RD DIVISION
26,80-16-106592,6TH DIVISION
27,80-16-020038,4TH DIVISION
28,80-16-110558,METRO LOUISVILLE
29,80-16-084302,1ST DIVISION
30,80-16-090216,4TH DIVISION
31,80-16-082895,1ST DIVISION
32,80-17-086836,7TH DIVISION
33,80-17-086789,3RD DIVISION
34,80-16-106444,2ND DIVISION
35,80-17-087031,1ST DIVISION
36,80-16-014415,6TH DIVISION
37,80-17-087012,1ST DIVISION
38,80-17-087014,2ND DIVISION
39,80-16-079137,7TH DIVISION
40,80-16-079137,7TH DIVISION
41,80-16-079137,7TH DIVISION
42,80-16-079137,7TH DIVISION
43,80-16-014862,6TH DIVISION
44,80-16-095917,4TH DIVISION
45,80-17-088710,6TH DIVISION
46,80-16-016110,4TH DIVISION
47,80-16-025016,6TH DIVISION
48,80-16-107417,2ND DIVISION
49,80-16-009437,2ND DIVISION
50,80-16-004076,3RD DIVISION
51,80-16-003997,6TH DIVISION
52,80-16-003942,6TH DIVISION
53,80-16-003507,4TH DIVISION
54,80-16-004098,3RD DIVISION
55,80-16-003103,5TH DIVISION
56,80-16-003103,5TH DIVISION
57,80-16-063967,7TH DIVISION
58,80-16-000456,2ND DIVISION
59,80-16-000456,2ND DIVISION
60,80-16-012271,4TH DIVISION
61,80-16-065350,3RD DIVISION
62,80-16-096146,1ST DIVISION
63,80-16-090892,2ND DIVISION
64,80-16-054669,6TH DIVISION
65,80-16-060188,1ST DIVISION
66,80-16-039028,3RD DIVISION
67,80-16-086200,6TH DIVISION
68,80-16-074907,3RD DIVISION
69,80-16-000453,1ST DIVISION
70,80-16-000453,1ST DIVISION
71,80-16-000453,1ST DIVISION
