INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year,ObjectId
80-17-008497,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",WINCHESTER                                             ,               ,20GA ,1/31/2017,600 BLOCK INDUSTRY RD                                       ,LOUISVILLE          ,KY,40208,BLACK,M,26,2017,1
80-17-013639,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,45C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017,2
80-06-008380,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA,3
80-17-001054,THEFT FR VEH,NULL,SMITH & WESSON                                         ,               ,     ,1/24/2017,5000 BLOCK GRASTON AVE                                      ,LOUISVILLE          ,KY,0,BLACK,M,20,2017,4
80-17-009059,STOLEN PROPERTY,"PISTOL, DERRINGER                                      ",                                                       ,               ,22C  ,1/31/2017,600 BLOCK LYNDON LN                                         ,LOUISVILLE          ,KY,40222,WHITE,M,40,2017,5
80-17-005477,NARCOTICS,NULL,CHARTER ARMS CORP.                                     ,BULLDOG PUG    ,     ,1/19/2017,2800 BLOCK BROWNSBORO RD                                    ,LOUISVILLE          ,KY,40206,WHITE,M,38,2017,6
80-17-009394,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ANDERSON MANUFACTURING                                 ,               ,     ,2/3/2017,13300 BLOCK HORNCASTLE                                      ,LOUISVILLE          ,KY,40272,WHITE,M,35,2017,7
80-17-011481,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,4570,2/8/2017,1200 BLOCK SOUTHWESTERN PKY                                 ,LOUISVILLE          ,KY,40211,BLACK,M,29,2017,8
80-17-013639,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,45C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017,9
80-17-001054,THEFT FR VEH,NULL,"KELTEC, CNC INDUSTRIES, INC                            ",P-11           ,     ,1/24/2017,5000 BLOCK GRASTON AVE                                      ,LOUISVILLE          ,KY,0,BLACK,M,20,2017,10
80-17-009059,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIREARMS CORPORATION                       ,               ,9MM  ,1/31/2017,600 BLOCK LYNDON LN                                         ,LOUISVILLE          ,KY,40222,WHITE,M,40,2017,11
80-17-009394,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",ANDERSON MANUFACTURING                                 ,               ,     ,2/3/2017,13300 BLOCK HORNCASTLE                                      ,LOUISVILLE          ,KY,40272,WHITE,M,35,2017,12
80-17-011395,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",                                                       ,               ,357C ,2/8/2017,300 BLOCK S 10TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,57,2017,13
80-17-005477,NARCOTICS,NULL,CHARTER ARMS CORP.                                     ,BULLDOG PUG    ,     ,1/19/2017,2800 BLOCK BROWNSBORO RD                                    ,LOUISVILLE          ,KY,40206,WHITE,M,38,2017,14
80-17-013647,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,CAL 22 LR HV   ,22C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,43,2017,15
80-10-002211,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA,16
80-17-001054,THEFT FR VEH,NULL,RUGER                                                  ,HANDGUNS: P SER,     ,1/24/2017,5000 BLOCK GRASTON AVE                                      ,LOUISVILLE          ,KY,0,BLACK,M,20,2017,17
80-17-009059,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,               ,380C ,1/31/2017,600 BLOCK LYNDON LN                                         ,LOUISVILLE          ,KY,40222,WHITE,M,40,2017,18
80-15-027428,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,PP/PPK/PPKS    ,22C  ,1/19/2017,300 BLOCK S 22ND ST                                         ,LOUISVILLE          ,KY,40212,BLACK,M,20,2017,19
80-17-013475,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,2/16/2017,800 BLOCK BRENTWOOD AVE                                     ,LOUISVILLE          ,KY,40215,WHITE,M,44,2017,20
80-14-032487,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",EUROPEAN AMERICAN ARMS CORP.                           ,               ,38C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017,21
80-17-009930,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,9MM  ,2/3/2017,300 BLOCK CHARIOT CT                                        ,LOUISVILLE          ,KY,40219,BLACK,M,30,2017,22
80-17-001054,THEFT FR VEH,NULL,RUGER                                                  ,               ,     ,1/24/2017,5000 BLOCK GRASTON AVE                                      ,LOUISVILLE          ,KY,0,BLACK,M,20,2017,23
80-17-009059,STOLEN PROPERTY,"SHOTGUN, PUMP ACTION                                   ",HARRINGTON & RICHARDSON                                ,               ,410G ,1/31/2017,600 BLOCK LYNDON LN                                         ,LOUISVILLE          ,KY,40222,WHITE,M,40,2017,24
80-10-002211,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA,25
80-17-008846,ALL OTHER OFFENSES,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,SIG PRO 2009   ,9MM  ,1/31/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,0,BLACK,M,25,2017,26
80-17-006900,WPNS LAW VIOLATION,NULL,HARRINGTON & RICHARDSON                                ,H & R (HARRINGT,     ,1/24/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017,27
80-17-005707,STOLEN PROPERTY,"SHOTGUN, PUMP ACTION                                   ","RAPTOR ARMS CO., INC.                                  ",               ,20GA ,1/19/2017,5300 BLOCK CANE RUN RD                                      ,LOUISVILLE          ,KY,0,WHITE,M,38,2017,28
80-17-013475,WPNS LAW VIOLATION,"PISTOL, DERRINGER                                      ",                                                       ,               ,22C  ,2/16/2017,800 BLOCK BRENTWOOD AVE                                     ,LOUISVILLE          ,KY,40215,WHITE,M,44,2017,29
80-14-032487,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40VE         ,40C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017,30
80-17-009975,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT145    ,4570,2/3/2017,3300 BLOCK W MARKET ST                                      ,LOUISVILLE          ,KY,40212,BLACK,M,31,2017,31
80-17-008851,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,               ,380C ,1/31/2017,BERRY BLVD / TAYLOR BLVD                                    ,LOUISVILLE          ,KY,40215,BLACK,M,19,2017,32
