,OBJECTID,INCIDENT_NUMBER,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE
0,1,80-10-011494,White,M,44.0
1,2,80-10-011506,Black,M,19.0
2,3,80-10-011506,Black,M,19.0
3,4,80-10-011506,Black,M,19.0
4,5,80-10-011506,Black,M,19.0
5,6,80-10-013628,Black,M,26.0
6,7,80-10-014366,Null,,
7,8,80-10-015443,White,F,23.0
8,9,80-10-015699,Black,F,29.0
9,10,80-10-015699,Black,F,29.0
10,11,80-10-016246,White,M,28.0
11,12,80-10-002355,Black,M,21.0
12,13,80-09-099274,Black,M,23.0
13,14,80-10-000954,Null,,
14,15,80-10-001042,Black,M,47.0
15,16,80-10-000411,Black,M,28.0
16,17,80-10-003832,White,M,45.0
17,18,80-10-004252,White,M,19.0
18,19,80-10-006645,Black,M,24.0
19,20,80-10-006927,Black,M,31.0
20,21,80-10-012336,White,M,44.0
21,22,80-10-012336,White,M,44.0
22,23,80-10-014735,White,M,22.0
23,24,80-10-014735,White,M,22.0
24,25,80-10-017395,Black,M,27.0
25,26,80-10-018911,Black,M,34.0
26,27,80-10-019619,Null,,
27,28,80-10-020340,Black,M,32.0
28,29,80-10-004252,White,M,19.0
29,30,80-10-005255,White,M,28.0
30,31,80-10-005845,White,M,17.0
31,32,80-10-006576,White,M,26.0
32,33,80-10-007110,Null,,
33,34,80-10-007387,Black,M,31.0
34,35,80-10-008651,White,M,53.0
35,36,80-10-009511,Black,M,33.0
36,37,80-10-022645,Null,,
37,38,80-10-023614,Black,F,34.0
38,39,80-10-025084,Unknown,U,
39,40,80-10-025754,Black,M,35.0
40,41,80-10-025923,Black,M,25.0
41,42,80-10-027333,White,M,18.0
42,43,80-10-028200,Black,F,38.0
43,44,80-10-020340,Black,M,32.0
44,45,80-10-020340,Black,M,32.0
45,46,80-10-035879,Black,M,43.0
46,47,80-10-036071,White,M,61.0
47,48,80-10-037247,Black,M,18.0
48,49,80-10-037247,Black,M,18.0
49,50,80-10-038863,Black,M,46.0
50,51,80-10-098860,Black,M,21.0
51,52,80-10-098860,Black,M,21.0
52,53,80-10-082757,Black,M,35.0
53,54,80-11-058966,White,M,25.0
54,55,80-11-058966,White,M,25.0
55,56,80-11-058966,White,M,25.0
56,57,80-11-058966,White,M,25.0
57,58,80-10-073596,Black,M,18.0
58,59,80-11-027205,White,F,31.0
59,60,80-11-027205,White,F,31.0
60,61,80-10-080743,Black,M,32.0
61,62,80-10-091150,Black,M,26.0
62,63,80-10-091150,Black,M,26.0
63,64,80-10-095523,Black,F,20.0
64,65,80-10-097010,Black,M,19.0
65,66,80-10-097010,Black,M,19.0
66,67,80-10-083366,Black,M,18.0
67,68,80-10-099672,Null,,
68,69,80-10-080128,White,M,23.0
69,70,80-10-080128,White,M,23.0
70,71,80-11-050929,White,M,25.0
71,72,80-11-050929,White,M,25.0
72,73,80-11-013595,Black,M,24.0
73,74,80-11-013595,Black,M,24.0
74,75,80-10-082797,Black,M,19.0
75,76,80-10-097022,Black,M,18.0
76,77,80-10-087402,Black,M,35.0
77,78,80-11-027470,White,M,39.0
78,79,80-11-027470,White,M,39.0
79,80,80-11-057130,White,M,27.0
80,81,80-11-057130,White,M,27.0
81,82,80-11-064924,Black,M,30.0
82,83,80-11-029194,Black,M,20.0
83,84,80-11-000740,White,M,37.0
84,85,80-11-000740,White,M,37.0
85,86,80-11-000740,White,M,37.0
86,87,80-11-000740,White,M,37.0
87,88,80-11-000740,White,M,37.0
88,89,80-11-000740,White,M,37.0
89,90,80-11-000740,White,M,37.0
90,91,80-11-000740,White,M,37.0
91,92,80-11-000740,White,M,37.0
92,93,80-11-000740,White,M,37.0
93,94,80-11-044875,White,M,23.0
94,95,80-10-058715,White,M,36.0
95,96,80-10-058715,White,M,36.0
96,97,80-10-058715,White,M,36.0
97,98,80-11-016096,White,M,43.0
98,99,80-10-074787,White,M,22.0
99,100,80-10-074787,White,M,22.0
100,101,80-10-029145,Black,M,30.0
101,102,80-10-029145,Black,M,30.0
102,103,80-10-029145,Black,M,30.0
103,104,80-10-029145,Black,M,30.0
104,105,80-10-029145,Black,M,30.0
105,106,80-10-039952,White,M,20.0
106,107,80-10-041479,Black,M,30.0
107,108,80-10-046639,Null,,
108,109,80-10-046639,Null,,
109,110,80-10-045484,Black,M,28.0
110,111,80-10-044497,Black,M,21.0
111,112,80-10-044497,Black,M,21.0
112,113,80-10-044497,Black,M,21.0
113,114,80-10-060964,White,M,65.0
114,115,80-10-061099,Black,M,33.0
115,116,80-10-061099,Black,M,33.0
116,117,80-10-061099,Black,M,33.0
117,118,80-10-061402,Black,M,26.0
118,119,80-10-061402,Black,M,26.0
119,120,80-10-061402,Black,M,26.0
120,121,80-10-062111,Black,M,21.0
121,122,80-10-062703,Black,M,17.0
122,123,80-10-032573,White,M,19.0
123,124,80-10-032573,White,M,19.0
124,125,80-10-032569,Black,M,22.0
125,126,80-10-032593,Black,M,27.0
126,127,80-10-032593,Black,M,27.0
127,128,80-10-032882,Black,M,21.0
128,129,80-10-032882,Black,M,21.0
129,130,80-10-033188,Black,M,61.0
130,131,80-10-034907,Black,M,30.0
131,132,80-10-050291,Black,M,24.0
132,133,80-10-050322,Black,M,24.0
133,134,80-10-050959,White,M,51.0
134,135,80-10-052905,White,M,36.0
135,136,80-10-054097,Black,M,29.0
136,137,80-10-054097,Black,M,29.0
137,138,80-10-057395,Black,M,20.0
138,139,80-10-057395,Black,M,20.0
139,140,80-10-057395,Black,M,20.0
140,141,80-10-058047,Unknown,U,
141,142,80-10-058047,Unknown,U,
142,143,80-10-043129,Black,M,28.0
143,144,80-10-043129,Black,M,28.0
144,145,80-10-043129,Black,M,28.0
145,146,80-10-043286,Unknown,U,
146,147,80-10-044338,Black,M,28.0
147,148,80-10-045942,White,M,36.0
148,149,80-10-047305,Black,M,21.0
149,150,80-10-047293,Null,,
150,151,80-11-098860,Null,,
151,152,80-11-012781,Black,M,47.0
152,153,80-11-021353,White,M,26.0
153,154,80-10-093009,Black,M,20.0
154,155,80-10-093009,Black,M,20.0
155,156,80-10-078760,Black,M,20.0
156,157,80-11-000006,Black,M,25.0
157,158,80-11-001031,Black,M,27.0
158,159,80-11-020149,Black,M,23.0
159,160,80-11-020149,Black,M,23.0
160,161,80-10-069874,Black,M,32.0
161,162,80-11-069885,Black,M,17.0
162,163,80-11-069885,Black,M,17.0
163,164,80-11-037335,White,M,22.0
164,165,80-11-069727,Black,M,25.0
165,166,80-10-062415,Black,M,20.0
166,167,80-10-077229,Black,M,54.0
167,168,80-10-077229,Black,M,54.0
168,169,80-10-077229,Black,M,54.0
169,170,80-11-065013,Black,M,29.0
170,171,80-11-025590,White,M,32.0
171,172,80-11-025590,White,M,32.0
172,173,80-11-094279,Black,M,21.0
173,174,80-11-044073,Black,M,30.0
174,175,80-11-044543,Black,M,22.0
175,176,80-11-023785,White,M,27.0
176,177,80-11-023785,White,M,27.0
177,178,80-10-085326,Black,M,20.0
178,179,80-11-015610,Black,M,34.0
179,180,80-10-102878,Black,M,42.0
180,181,80-11-097647,Black,M,28.0
181,182,80-10-098845,White,M,45.0
182,183,80-10-098845,White,M,45.0
183,184,80-11-044761,Black,M,20.0
184,185,80-11-039723,Black,M,28.0
185,186,80-11-036585,White,M,24.0
186,187,80-10-076602,White,M,24.0
187,188,80-10-076602,White,M,24.0
188,189,80-10-076602,White,M,24.0
189,190,80-11-042977,Black,M,18.0
190,191,80-11-033335,White,M,37.0
191,192,80-11-000740,White,M,37.0
192,193,80-11-000740,White,M,37.0
193,194,80-11-000740,White,M,37.0
194,195,80-11-000740,White,M,37.0
195,196,80-11-000740,White,M,37.0
196,197,80-11-000740,White,M,37.0
197,198,80-11-000740,White,M,37.0
198,199,80-11-039159,Null,,
199,200,80-11-039159,Null,,
200,201,80-11-045742,Null,,
201,202,80-11-065146,Null,,
202,203,80-10-062415,Black,M,20.0
203,204,80-11-072036,Null,,
204,205,80-11-068389,Null,,
205,206,80-11-021353,White,M,26.0
206,207,80-11-021353,White,M,26.0
207,208,80-11-045994,Black,M,32.0
208,209,80-11-045994,Black,M,32.0
209,210,80-10-096913,White,M,30.0
210,211,80-10-096913,White,M,30.0
211,212,80-10-070222,Black,M,25.0
212,213,80-11-063891,Black,M,26.0
213,214,80-11-059925,Black,M,22.0
214,215,80-10-072963,Black,M,21.0
215,216,80-11-001602,Black,M,38.0
216,217,80-11-016806,Black,M,31.0
217,218,80-11-070984,Black,M,23.0
218,219,80-10-080462,Black,M,24.0
219,220,80-11-069596,Black,M,23.0
220,221,80-11-069596,Black,M,23.0
221,222,80-11-001921,White,M,22.0
222,223,80-11-001267,Black,M,35.0
223,224,80-11-063970,Black,M,44.0
224,225,80-11-063970,Black,M,44.0
225,226,80-10-076022,Black,M,32.0
226,227,80-11-023785,White,M,27.0
227,228,80-11-023785,White,M,27.0
228,229,80-10-098155,Black,M,31.0
229,230,80-11-060211,White,M,50.0
230,231,80-11-060211,White,M,50.0
231,232,80-11-000740,White,M,37.0
232,233,80-11-000740,White,M,37.0
233,234,80-11-000740,White,M,37.0
234,235,80-11-073362,Black,M,26.0
235,236,80-10-088466,Black,M,54.0
236,237,80-10-073182,White,M,48.0
237,238,80-11-048655,Black,M,31.0
238,239,80-10-074787,White,M,22.0
239,240,80-11-016883,White,F,25.0
240,241,80-10-077628,White,M,32.0
241,242,80-11-027462,Black,M,37.0
242,243,80-10-087737,Black,M,31.0
243,244,80-11-019349,Black,M,23.0
244,245,80-11-019349,Black,M,23.0
245,246,80-11-019349,Black,M,23.0
246,247,80-11-019349,Black,M,23.0
247,248,80-10-098157,White,M,23.0
248,249,80-10-098157,White,M,23.0
249,250,80-10-083250,Black,M,25.0
250,251,80-11-040427,White,M,36.0
251,252,80-11-034598,Black,M,25.0
252,253,80-10-062445,Black,M,33.0
253,254,80-10-063888,White,M,44.0
254,255,80-10-063888,White,M,44.0
255,256,80-10-063888,White,M,44.0
256,257,80-10-064119,Black,F,52.0
257,258,80-10-065162,Null,,
258,259,80-10-065579,Hispanic,M,40.0
259,260,80-10-065579,Hispanic,M,40.0
260,261,80-10-065579,Hispanic,M,40.0
261,262,80-10-065579,Hispanic,M,40.0
262,263,80-10-089791,Null,,
263,264,80-10-093602,Null,,
264,265,80-10-097876,Null,,
265,266,80-11-013469,Null,,
266,267,80-11-015623,Null,,
267,268,80-11-015826,Null,,
268,269,80-10-062703,Black,M,17.0
269,270,80-10-064449,Unknown,U,
270,271,80-10-067740,Black,M,37.0
271,272,80-10-068641,White,M,37.0
272,273,80-10-068641,White,M,37.0
273,274,80-10-052770,White,M,20.0
274,275,80-10-055541,Black,M,29.0
275,276,80-10-079964,Null,,
276,277,80-10-079964,Null,,
277,278,80-10-079964,Null,,
278,279,80-10-083504,Null,,
279,280,80-10-083504,Null,,
280,281,80-10-084054,Null,,
281,282,80-10-050884,Null,,
282,283,80-10-050884,Null,,
283,284,80-11-011057,Null,,
284,285,80-11-011057,Null,,
285,286,80-11-011057,Null,,
286,287,80-11-011057,Null,,
287,288,80-11-011057,Null,,
288,289,80-11-011057,Null,,
289,290,80-11-021323,Null,,
290,291,80-11-021323,Null,,
291,292,80-11-025417,Null,,
292,293,80-11-029150,Null,,
293,294,80-11-037399,Null,,
294,295,80-11-037399,Null,,
295,296,80-11-054226,Null,,
296,297,80-11-070601,Null,,
297,298,80-11-070601,Null,,
298,299,80-11-070601,Null,,
299,300,80-11-077879,Null,,
300,301,80-11-021413,White,M,48.0
301,302,80-11-021413,White,M,48.0
302,303,80-11-021413,White,M,48.0
303,304,80-11-021413,White,M,48.0
304,305,80-11-021413,White,M,48.0
305,306,80-11-021413,White,M,48.0
306,307,80-11-021413,White,M,48.0
307,308,80-11-021413,White,M,48.0
308,309,80-11-049023,Black,M,28.0
309,310,80-11-056278,White,F,46.0
310,311,80-10-097022,Black,M,18.0
311,312,80-10-097022,Black,M,18.0
312,313,80-11-029145,White,M,60.0
313,314,80-11-029145,White,M,60.0
314,315,80-11-029145,White,M,60.0
315,316,80-11-093438,Black,M,18.0
316,317,80-11-044870,White,M,20.0
317,318,80-11-015444,Black,M,23.0
318,319,80-10-057715,White,M,53.0
319,320,80-11-038098,Black,M,24.0
320,321,80-10-094551,White,M,54.0
321,322,80-10-055988,Black,F,
322,323,80-10-055988,Black,F,
323,324,80-10-058796,White,M,24.0
