rfr_id,INCIDENT_NUMBER,UCR_CATEGORY
0,80-10-011494,Wpns Law Violation
1,80-10-011506,Narcotics
2,80-10-011506,Narcotics
3,80-10-011506,Narcotics
4,80-10-011506,Narcotics
5,80-10-013628,Wpns Law Violation
6,80-10-014366,Wpns Law Violation
7,80-10-015443,Theft Other
8,80-10-015699,Wpns Law Violation
9,80-10-015699,Wpns Law Violation
10,80-10-016246,Accidental Shooting
11,80-10-002355,Aggravated Assault
12,80-09-099274,Aggravated Assault
13,80-10-000954,Robbery
14,80-10-001042,Aggravated Assault
15,80-10-000411,Simple Assault
16,80-10-003832,Shoplifting
17,80-10-004252,Narcotics
18,80-10-006645,Wpns Law Violation
19,80-10-006927,Narcotics
20,80-10-012336,Aggravated Assault
21,80-10-012336,Aggravated Assault
22,80-10-014735,Aggravated Assault
23,80-10-014735,Aggravated Assault
24,80-10-017395,Counterfeiting
25,80-10-018911,Wpns Law Violation
26,80-10-019619,Robbery
27,80-10-020340,Narcotics
28,80-10-004252,Narcotics
29,80-10-005255,Narcotics
30,80-10-005845,Narcotics
31,80-10-006576,Narcotics
32,80-10-007110,Injured Person Report
33,80-10-007387,Wpns Law Violation
34,80-10-008651,Wpns Law Violation
35,80-10-009511,Narcotics
36,80-10-022645,Aggravated Assault
37,80-10-023614,Wpns Law Violation
38,80-10-025084,Narcotics
39,80-10-025754,Wpns Law Violation
40,80-10-025923,Narcotics
41,80-10-027333,Simple Assault
42,80-10-028200,Wpns Law Violation
43,80-10-020340,Narcotics
44,80-10-020340,Narcotics
45,80-10-035879,Stolen Property
46,80-10-036071,Wpns Law Violation
47,80-10-037247,Wpns Law Violation
48,80-10-037247,Wpns Law Violation
49,80-10-038863,Aggravated Assault
50,80-10-098860,Narcotics
51,80-10-098860,Narcotics
52,80-10-082757,Wpns Law Violation
53,80-11-058966,Narcotics
54,80-11-058966,Narcotics
55,80-11-058966,Narcotics
56,80-11-058966,Narcotics
57,80-10-073596,Accidental Shooting
58,80-11-027205,Narcotics
59,80-11-027205,Narcotics
60,80-10-080743,Narcotics
61,80-10-091150,Narcotics
62,80-10-091150,Narcotics
63,80-10-095523,Burglary
64,80-10-097010,Aggravated Assault
65,80-10-097010,Aggravated Assault
66,80-10-083366,All Other Offenses
67,80-10-099672,Aggravated Assault
68,80-10-080128,Narcotics
69,80-10-080128,Narcotics
70,80-11-050929,Narcotics
71,80-11-050929,Narcotics
72,80-11-013595,Wpns Law Violation
73,80-11-013595,Wpns Law Violation
74,80-10-082797,Accidental Shooting
75,80-10-097022,Aggravated Assault
76,80-10-087402,Wpns Law Violation
77,80-11-027470,Narcotics
78,80-11-027470,Narcotics
79,80-11-057130,Narcotics
80,80-11-057130,Narcotics
81,80-11-064924,Narcotics
82,80-11-029194,Wpns Law Violation
83,80-11-000740,Narcotics
84,80-11-000740,Narcotics
85,80-11-000740,Narcotics
86,80-11-000740,Narcotics
87,80-11-000740,Narcotics
88,80-11-000740,Narcotics
89,80-11-000740,Narcotics
90,80-11-000740,Narcotics
91,80-11-000740,Narcotics
92,80-11-000740,Narcotics
93,80-11-044875,Wpns Law Violation
94,80-10-058715,Narcotics
95,80-10-058715,Narcotics
96,80-10-058715,Narcotics
97,80-11-016096,Narcotics
98,80-10-074787,Wpns Law Violation
99,80-10-074787,Wpns Law Violation
100,80-10-029145,Narcotics
101,80-10-029145,Narcotics
102,80-10-029145,Narcotics
103,80-10-029145,Narcotics
104,80-10-029145,Narcotics
105,80-10-039952,Narcotics
106,80-10-041479,Wpns Law Violation
